Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
Jannik Sinner,5,2023,156.5,32.0,54.4,28.2,41.9
Jack Draper,6,2023,154.7,30.1,52.5,27.5,44.6
Alejandro Davidovich Fokina,7,2023,154.6,30.8,52.9,26.3,44.6
Adrian Mannarino,8,2023,154.3,29.3,52.1,25.6,47.3
Lorenzo Musetti,9,2023,152.5,31.9,51.4,26.2,43.0
Bernabe Zapata Miralles,10,2023,152.2,32.6,50.8,27.2,41.6
Francisco Cerundolo,11,2023,151.6,33.0,51.2,27.8,39.6
Sebastian Baez,12,2023,151.3,31.4,52.5,26.6,40.8
Mackenzie McDonald,13,2023,149.5,29.2,53.5,23.8,43.0
Jaume Munar,14,2023,149.4,32.8,49.0,25.7,41.9
Pedro Martinez,15,2023,147.5,29.1,50.4,24.0,44.0
Cameron Norrie,16,2023,147.0,30.9,51.0,25.2,39.9
Taylor Fritz,17,2023,146.2,28.4,53.0,22.7,42.1
Andrey Rublev,18,2023,146.1,29.8,52.7,24.6,39.0
Grigor Dimitrov,19,2023,146.0,30.0,51.3,24.1,40.6
Karen Khachanov,20,2023,146.0,30.3,51.3,23.5,40.9
Juan Pablo Varillas,21,2023,145.4,29.7,52.1,22.4,41.2
Roman Safiullin,22,2023,145.3,28.6,50.5,21.8,44.4
Dusan Lajovic,23,2023,144.7,29.9,50.4,22.3,42.1
Diego Schwartzman,24,2023,144.7,30.3,49.6,23.4,41.4
Marton Fucsovics,25,2023,144.6,30.3,50.3,22.0,42.0
Flavio Cobolli,26,2023,144.1,32.3,47.2,23.9,40.7
Albert Ramos-Vinolas,27,2023,144.0,29.3,50.2,22.4,42.1
Tommy Paul,28,2023,143.0,30.2,51.3,24.1,37.4
Casper Ruud,29,2023,142.9,30.2,50.8,23.3,38.6
Roberto Carballes Baena,30,2023,142.0,27.6,51.1,22.0,41.3
Gael Monfils,31,2023,142.0,30.8,47.5,24.1,39.6
Cristian Garin,32,2023,141.1,29.7,49.8,22.9,38.7
Miomir Kecmanovic,33,2023,140.7,27.8,51.1,21.7,40.1
Emil Ruusuvuori,34,2023,140.7,28.2,50.4,21.2,40.9
Matteo Arnaldi,35,2023,140.3,27.4,51.3,19.9,41.7
Alex Molcan,36,2023,140.3,28.2,49.7,21.8,40.6
Alexander Zverev,37,2023,140.1,28.9,51.8,23.0,36.4
Botic van de Zandschulp,38,2023,139.8,31.4,50.0,22.6,35.8
Denis Shapovalov,39,2023,139.6,29.5,48.3,21.1,40.7
Frances Tiafoe,40,2023,139.5,27.4,51.2,22.2,38.7
Alexander Shevchenko,41,2023,139.3,27.4,49.2,21.4,41.3
Richard Gasquet,42,2023,139.2,27.2,49.8,19.6,42.6
Yannick Hanfmann,43,2023,138.8,31.4,49.5,21.6,36.3
Holger Rune,44,2023,138.8,28.8,49.3,21.4,39.3
J.J. Wolf,45,2023,138.7,27.7,48.9,20.1,42.0
Alexandre Muller,46,2023,138.3,29.7,47.9,19.4,41.3
Tomas Martin Etcheverry,47,2023,137.9,30.0,50.0,21.7,36.2
Yoshihito Nishioka,48,2023,137.9,26.3,51.6,21.3,38.7
Sebastian Korda,49,2023,137.7,25.9,51.3,19.8,40.7
Ugo Humbert,50,2023,137.5,28.9,50.3,22.3,36.0
Diego Schwartzman,1,2022,163.5,35.3,54.0,31.5,42.7
Rafael Nadal,2,2022,162.6,34.2,53.9,31.0,43.5
Novak Djokovic,3,2022,160.1,33.0,56.0,28.6,42.5
Carlos Alcaraz,4,2022,158.6,34.0,53.4,30.8,40.4
Alex de Minaur,5,2022,158.3,33.1,52.6,28.6,44.0
Mikael Ymer,6,2022,158.2,33.8,52.2,29.6,42.6
Alejandro Tabilo,7,2022,157.8,33.2,52.1,29.0,43.5
Daniil Medvedev,8,2022,154.7,31.7,53.9,26.7,42.4
Francisco Cerundolo,9,2022,154.1,32.7,52.4,27.6,41.4
Cameron Norrie,10,2022,154.1,31.1,52.6,26.7,43.7
Alexander Zverev,11,2022,154.1,32.7,50.0,26.1,45.3
Jannik Sinner,12,2022,153.4,32.3,53.0,26.7,41.4
Gael Monfils,13,2022,152.6,33.5,50.6,27.7,40.8
Jenson Brooksby,14,2022,151.9,32.3,49.8,26.1,43.7
Roberto Bautista Agut,15,2022,151.5,30.0,55.1,27.3,39.1
Sebastian Korda,16,2022,150.9,32.5,50.2,26.5,41.7
Miomir Kecmanovic,17,2022,150.0,30.6,53.1,25.3,41.0
Lorenzo Musetti,18,2022,149.9,30.0,50.0,23.6,46.3
Federico Coria,19,2022,149.3,32.9,50.2,25.3,40.9
Botic van de Zandschulp,20,2022,148.7,31.5,50.3,24.9,42.0
Alejandro Davidovich Fokina,21,2022,148.2,31.8,50.0,26.1,40.3
Emil Ruusuvuori,22,2022,148.1,31.6,51.6,25.2,39.7
Mackenzie McDonald,23,2022,147.5,29.9,50.8,24.2,42.6
Sebastian Baez,24,2022,147.1,32.5,50.8,25.2,38.6
Daniel Evans,25,2022,146.9,30.1,51.0,24.2,41.6
Albert Ramos-Vinolas,26,2022,146.6,30.5,51.2,23.4,41.5
Filip Krajinovic,27,2022,146.1,26.6,50.3,21.7,47.5
Andy Murray,28,2022,146.1,28.5,54.7,23.6,39.3
David Goffin,29,2022,145.7,31.7,49.8,25.3,38.9
Cristian Garin,30,2022,145.3,31.6,49.3,24.5,39.9
Jaume Munar,31,2022,145.2,33.8,49.6,25.6,36.2
Taylor Fritz,32,2022,144.8,29.9,52.3,24.5,38.1
Pablo Carreno Busta,33,2022,144.6,29.8,52.0,24.3,38.5
Jack Draper,34,2022,144.5,27.9,52.3,23.7,40.6
Tommy Paul,35,2022,144.4,31.3,49.6,24.3,39.2
Andrey Rublev,36,2022,144.3,29.9,51.5,23.5,39.4
Zizou Bergs,37,2022,143.9,24.2,48.5,16.7,54.5
Yoshihito Nishioka,38,2022,143.9,26.0,54.0,22.3,41.6
Federico Delbonis,39,2022,143.6,28.5,47.3,20.6,47.2
Holger Rune,40,2022,143.3,29.7,50.5,22.2,40.9
Alex Molcan,41,2022,142.9,30.3,50.5,22.7,39.4
Marin Cilic,42,2022,142.2,30.7,50.1,22.8,38.6
Ilya Ivashka,43,2022,141.9,28.9,48.5,22.3,42.2
Fabio Fognini,44,2022,141.7,28.8,50.6,23.6,38.7
Taro Daniel,45,2022,141.6,29.9,49.3,21.2,41.2
Stefanos Tsitsipas,46,2022,141.2,28.6,49.9,21.2,41.5
Richard Gasquet,47,2022,140.8,28.6,50.9,22.5,38.8
Aslan Karatsev,48,2022,140.8,30.3,49.3,22.1,39.1
Grigor Dimitrov,49,2022,140.7,30.0,49.6,22.2,38.9
Pedro Martinez,50,2022,139.9,31.1,50.7,23.0,35.1
Alexandre Muller,1,2021,172.5,30.7,53.9,27.9,60.0
Novak Djokovic,2,2021,171.0,35.8,55.3,34.6,45.3
Diego Schwartzman,3,2021,169.3,35.3,54.8,33.8,45.4
Daniil Medvedev,4,2021,165.3,33.1,55.7,30.6,45.9
Carlos Alcaraz,5,2021,160.4,33.1,52.6,30.9,43.8
Cameron Norrie,6,2021,157.8,31.7,52.9,28.0,45.2
Casper Ruud,7,2021,155.3,29.9,53.8,26.7,44.9
Andrey Rublev,8,2021,154.2,30.2,54.5,25.9,43.6
Jannik Sinner,9,2021,153.6,31.4,52.2,26.2,43.8
Alexander Zverev,10,2021,153.5,31.2,53.6,27.3,41.4
Nikoloz Basilashvili,11,2021,153.4,31.8,51.9,26.5,43.2
Federico Delbonis,12,2021,153.4,31.8,53.1,27.6,40.9
Mikael Ymer,13,2021,152.9,31.8,51.6,28.7,40.8
Federico Coria,14,2021,152.6,31.1,51.6,27.1,42.8
Roberto Bautista Agut,15,2021,152.3,28.8,54.8,25.5,43.2
Flavio Cobolli,16,2021,152.3,33.9,43.4,25.0,50.0
Cristian Garin,17,2021,152.1,33.3,50.1,27.1,41.6
Stefanos Tsitsipas,18,2021,150.6,31.4,51.2,25.3,42.7
Kei Nishikori,19,2021,149.8,30.8,52.9,27.4,38.7
Pedro Martinez,20,2021,149.6,30.6,51.0,25.3,42.7
Marton Fucsovics,21,2021,149.0,31.5,50.7,25.0,41.8
Ilya Ivashka,22,2021,148.9,29.7,52.8,26.0,40.4
Francisco Cerundolo,23,2021,148.8,36.9,47.5,25.5,38.9
Alejandro Davidovich Fokina,24,2021,148.6,31.2,51.6,26.2,39.6
Alex de Minaur,25,2021,148.4,32.3,49.8,25.3,41.0
Grigor Dimitrov,26,2021,148.2,30.9,51.1,25.1,41.1
Holger Rune,27,2021,148.2,28.7,53.5,24.3,41.7
Albert Ramos-Vinolas,28,2021,148.2,30.1,53.0,24.4,40.7
Aslan Karatsev,29,2021,148.0,31.1,51.3,26.2,39.4
Sebastian Korda,30,2021,146.8,31.2,51.8,24.6,39.2
Emil Ruusuvuori,31,2021,146.4,31.3,51.9,24.2,39.0
Pablo Carreno Busta,32,2021,145.4,28.6,50.6,23.1,43.1
Fabio Fognini,33,2021,145.2,31.7,48.5,24.2,40.8
Daniel Evans,34,2021,145.0,29.5,50.6,22.6,42.3
John Millman,35,2021,143.6,29.3,50.5,22.2,41.6
Tommy Paul,36,2021,142.5,30.8,50.0,22.7,39.0
Gael Monfils,37,2021,141.7,31.4,50.0,23.4,36.9
Jaume Munar,38,2021,141.7,32.2,49.5,24.5,35.5
Brandon Nakashima,39,2021,141.3,26.1,51.5,21.0,42.7
Laslo Djere,40,2021,140.8,30.3,50.8,23.0,36.7
Dominik Koepfer,41,2021,140.7,29.1,49.6,21.9,40.1
Aljaz Bedene,42,2021,140.4,29.5,48.3,20.4,42.2
Filip Krajinovic,43,2021,140.1,27.7,50.0,22.1,40.3
Karen Khachanov,44,2021,139.7,29.0,50.6,21.4,38.7
Zizou Bergs,45,2021,139.4,28.5,43.0,21.2,46.7
Denis Shapovalov,46,2021,139.3,29.2,49.2,21.7,39.2
Frances Tiafoe,47,2021,139.3,27.8,51.0,21.5,39.0
Soonwoo Kwon,48,2021,139.2,29.2,50.3,22.6,37.1
Felix Auger-Aliassime,49,2021,139.0,30.7,49.4,21.7,37.2
James Duckworth,50,2021,138.3,26.8,51.2,20.9,39.4
Francisco Cerundolo,1,2020,196.4,37.3,48.3,30.8,80.0
Tomas Machac,2,2020,192.5,28.4,62.3,37.5,64.3
Rafael Nadal,3,2020,175.6,35.1,56.8,34.4,49.3
Diego Schwartzman,4,2020,173.7,34.4,57.4,34.9,47.0
Novak Djokovic,5,2020,168.8,34.6,57.8,32.9,43.5
Roberto Bautista Agut,6,2020,166.8,33.1,58.1,33.5,42.1
Lorenzo Musetti,7,2020,166.8,33.5,53.7,30.7,48.9
Jannik Sinner,8,2020,160.1,33.7,52.2,28.6,45.6
Grigor Dimitrov,9,2020,159.1,32.6,53.2,28.6,44.7
Andrey Rublev,10,2020,158.6,32.1,53.5,28.6,44.4
Daniil Medvedev,11,2020,156.7,31.4,56.3,27.5,41.5
Pedro Martinez,12,2020,156.0,31.1,53.9,28.1,42.9
Alejandro Davidovich Fokina,13,2020,155.1,33.6,51.5,28.8,41.2
Alexander Zverev,14,2020,154.1,32.7,50.8,27.1,43.5
Alex de Minaur,15,2020,152.0,31.6,52.7,24.8,42.9
Dominic Thiem,16,2020,151.0,32.5,50.3,26.1,42.1
Gael Monfils,17,2020,150.0,29.7,54.7,26.3,39.3
Karen Khachanov,18,2020,149.5,28.3,53.3,22.9,45.0
Cristian Garin,19,2020,149.3,31.0,51.9,26.1,40.3
Daniel Evans,20,2020,148.6,31.2,50.7,25.1,41.6
Sebastian Korda,21,2020,146.9,31.3,48.8,25.8,41.0
Brandon Nakashima,22,2020,146.6,27.4,52.3,18.8,48.1
Adrian Mannarino,23,2020,144.4,30.1,50.8,23.5,40.0
Tommy Paul,24,2020,144.2,27.5,51.3,23.1,42.3
Pablo Carreno Busta,25,2020,143.2,28.3,52.3,25.2,37.4
Hubert Hurkacz,26,2020,142.1,28.3,50.6,22.1,41.1
Jan-Lennard Struff,27,2020,140.4,28.9,51.1,22.7,37.7
Stefanos Tsitsipas,28,2020,139.9,29.3,49.9,21.6,39.1
Carlos Alcaraz,29,2020,138.5,38.7,50.6,25.0,24.2
Miomir Kecmanovic,30,2020,138.5,28.1,49.0,21.3,40.1
Denis Shapovalov,31,2020,138.0,29.9,49.2,22.5,36.4
Casper Ruud,32,2020,137.1,29.0,49.9,23.0,35.2
Frances Tiafoe,33,2020,135.1,28.4,48.3,19.8,38.6
Alejandro Tabilo,34,2020,133.8,24.7,56.3,15.3,37.5
Marcos Giron,35,2020,133.2,25.8,50.7,19.8,36.9
Ugo Humbert,36,2020,132.0,28.8,48.1,20.0,35.1
Lorenzo Sonego,37,2020,130.2,27.8,46.2,18.1,38.1
Milos Raonic,38,2020,129.8,27.1,48.4,18.0,36.3
Taylor Fritz,39,2020,129.5,26.3,52.4,18.8,32.0
Felix Auger-Aliassime,40,2020,128.7,29.2,45.7,19.1,34.7
Jordan Thompson,41,2020,128.7,27.3,48.4,18.5,34.5
Matteo Berrettini,42,2020,125.9,28.1,48.2,18.3,31.3
Alexei Popyrin,43,2020,114.8,24.2,45.2,10.9,34.5
Nicolas Jarry,44,2020,110.0,19.8,52.1,11.4,26.7
Tallon Griekspoor,45,2020,51.0,5.5,45.5,0.0,0.0
Rafael Nadal,1,2019,170.9,35.1,55.8,35.1,44.9
Novak Djokovic,2,2019,168.9,33.9,54.2,31.8,49.0
Diego Schwartzman,3,2019,161.7,32.7,56.1,31.0,41.9
Daniil Medvedev,4,2019,157.6,30.6,55.6,28.0,43.4
Kei Nishikori,5,2019,156.6,31.8,54.6,28.4,41.8
Roberto Carballes Baena,6,2019,155.9,32.2,50.0,26.9,46.8
David Goffin,7,2019,153.9,32.5,52.0,27.9,41.5
Fabio Fognini,8,2019,153.3,30.8,51.5,26.7,44.3
Tommy Paul,9,2019,152.8,27.7,52.2,22.9,50.0
Francisco Cerundolo,10,2019,151.2,34.6,43.5,23.1,50.0
Filip Krajinovic,11,2019,150.4,30.5,51.9,25.9,42.1
Gael Monfils,12,2019,150.4,32.4,49.8,27.1,41.1
Yoshihito Nishioka,13,2019,149.6,29.2,53.7,25.5,41.2
Roger Federer,14,2019,149.3,32.6,50.0,25.8,40.9
Albert Ramos-Vinolas,15,2019,149.1,29.8,50.2,25.0,44.1
Adrian Mannarino,16,2019,147.7,30.0,50.3,23.8,43.6
Roberto Bautista Agut,17,2019,147.5,29.1,53.7,24.5,40.2
Alexander Zverev,18,2019,146.7,31.8,50.7,25.5,38.7
Gilles Simon,19,2019,145.5,30.8,52.7,24.0,38.0
Dominic Thiem,20,2019,145.5,29.4,50.8,23.6,41.7
Alejandro Davidovich Fokina,21,2019,145.4,30.6,48.8,22.0,44.0
Andrey Rublev,22,2019,145.3,29.2,54.6,25.0,36.5
Dusan Lajovic,23,2019,145.1,28.6,50.0,23.2,43.3
Nikoloz Basilashvili,24,2019,145.0,30.0,49.9,23.3,41.8
Alex de Minaur,25,2019,145.0,30.1,49.6,23.4,41.9
Federico Delbonis,26,2019,144.9,28.9,52.3,23.7,40.0
Casper Ruud,27,2019,143.4,27.0,49.3,22.7,44.4
Marton Fucsovics,28,2019,142.6,32.2,49.4,24.9,36.1
Grigor Dimitrov,29,2019,142.5,29.1,49.6,22.8,41.0
Pablo Cuevas,30,2019,142.2,28.9,48.9,22.0,42.4
Guido Pella,31,2019,142.2,28.5,53.4,22.9,37.4
Radu Albot,32,2019,141.6,28.2,52.2,22.8,38.4
Daniel Evans,33,2019,141.5,30.3,49.4,24.3,37.5
Cristian Garin,34,2019,141.1,29.3,48.9,22.4,40.5
Pablo Andujar,35,2019,140.7,30.3,50.1,21.7,38.6
Benoit Paire,36,2019,140.7,31.4,48.6,22.4,38.3
Jannik Sinner,37,2019,140.3,30.5,48.7,23.6,37.5
Jordan Thompson,38,2019,140.3,28.4,49.7,21.6,40.6
Aljaz Bedene,39,2019,140.1,26.0,50.1,20.8,43.2
Jaume Munar,40,2019,140.1,31.9,49.4,22.4,36.4
John Millman,41,2019,140.0,27.5,51.7,21.1,39.7
Pablo Carreno Busta,42,2019,139.9,26.2,53.6,22.2,37.9
Fernando Verdasco,43,2019,136.7,28.8,50.2,21.7,36.0
Cameron Norrie,44,2019,136.5,28.1,49.3,20.3,38.8
Miomir Kecmanovic,45,2019,136.4,24.9,52.1,20.1,39.3
Andreas Seppi,46,2019,136.3,27.2,50.1,19.1,39.9
Felix Auger-Aliassime,47,2019,136.0,28.1,48.1,19.3,40.5
Damir Dzumhur,48,2019,136.0,28.5,51.7,21.6,34.2
Karen Khachanov,49,2019,135.6,28.1,48.7,19.6,39.2
Juan Ignacio Londero,50,2019,135.3,28.3,49.8,20.7,36.5
Rafael Nadal,1,2018,174.4,35.7,56.6,36.5,45.6
David Goffin,2,2018,163.1,32.5,54.1,30.5,46.0
Diego Schwartzman,3,2018,159.9,32.0,55.8,30.7,41.4
Fabio Fognini,4,2018,159.7,32.3,53.4,29.4,44.6
Novak Djokovic,5,2018,159.1,34.4,54.5,30.3,39.9
Hyeon Chung,6,2018,157.8,32.0,53.7,28.2,43.9
Gilles Simon,7,2018,156.6,32.0,54.3,28.4,41.9
Alexander Zverev,8,2018,154.3,32.4,52.2,27.6,42.1
Pablo Carreno Busta,9,2018,152.3,28.9,53.0,26.2,44.2
Richard Gasquet,10,2018,152.3,31.2,50.9,27.0,43.2
Damir Dzumhur,11,2018,152.0,32.6,50.0,26.2,43.2
Roberto Bautista Agut,12,2018,151.9,30.0,54.1,26.0,41.8
Borna Coric,13,2018,150.3,29.5,51.5,26.1,43.2
Marton Fucsovics,14,2018,150.0,31.2,51.9,26.8,40.1
Fernando Verdasco,15,2018,149.0,31.3,51.7,24.8,41.2
Kei Nishikori,16,2018,148.8,29.6,52.1,24.5,42.6
Juan Martin del Potro,17,2018,147.5,30.5,52.8,25.2,39.0
Gael Monfils,18,2018,147.0,30.6,46.9,23.1,46.4
John Millman,19,2018,147.0,29.8,51.4,24.6,41.2
Dominic Thiem,20,2018,146.4,31.3,51.4,24.4,39.3
Roger Federer,21,2018,146.2,32.1,48.3,23.9,41.9
Dusan Lajovic,22,2018,144.8,29.6,50.6,23.0,41.6
Benoit Paire,23,2018,144.7,31.5,48.7,23.9,40.6
Karen Khachanov,24,2018,144.5,28.5,51.4,23.0,41.6
Miomir Kecmanovic,25,2018,144.3,14.9,53.2,9.5,66.7
Alex de Minaur,26,2018,143.4,27.7,53.3,23.8,38.6
Andrey Rublev,27,2018,143.0,29.8,52.8,23.7,36.7
Filip Krajinovic,28,2018,141.4,27.4,53.7,24.2,36.1
Daniil Medvedev,29,2018,141.2,28.1,51.4,23.1,38.6
Radu Albot,30,2018,141.0,29.0,52.4,22.6,37.0
Andreas Seppi,31,2018,141.0,28.7,49.1,22.8,40.4
Adrian Mannarino,32,2018,140.8,27.5,48.4,19.3,45.6
Sebastian Korda,33,2018,140.4,21.6,54.5,21.4,42.9
Kyle Edmund,34,2018,140.2,28.1,51.1,22.0,39.0
Guido Pella,35,2018,140.2,28.1,52.6,21.9,37.6
Mikhail Kukushkin,36,2018,139.9,27.7,52.3,21.7,38.2
Felix Auger-Aliassime,37,2018,139.2,31.7,48.4,20.8,38.3
Marin Cilic,38,2018,139.2,29.9,50.5,22.8,36.0
Casper Ruud,39,2018,139.1,25.8,51.8,20.5,41.0
Cameron Norrie,40,2018,139.0,29.2,48.0,21.1,40.7
Marcos Giron,41,2018,138.5,27.1,54.3,23.8,33.3
Robin Haase,42,2018,138.4,26.4,49.1,21.2,41.7
Joao Sousa,43,2018,138.1,31.3,47.9,22.7,36.2
Jan-Lennard Struff,44,2018,137.9,25.9,48.4,18.9,44.7
Malek Jaziri,45,2018,137.5,26.2,50.2,19.9,41.2
Roberto Carballes Baena,46,2018,137.0,26.9,50.1,19.8,40.2
Stefanos Tsitsipas,47,2018,136.5,26.9,49.4,19.7,40.5
Jared Donaldson,48,2018,135.8,26.7,49.1,20.3,39.7
Philipp Kohlschreiber,49,2018,135.8,27.8,48.9,19.6,39.5
Matthew Ebden,50,2018,135.7,27.4,47.6,19.6,41.1
Diego Schwartzman,1,2017,168.7,34.3,56.1,34.8,43.5
Andy Murray,2,2017,168.6,34.7,53.9,32.2,47.8
Rafael Nadal,3,2017,164.3,34.6,55.6,32.7,41.4
Novak Djokovic,4,2017,164.0,33.5,55.3,30.6,44.6
Damir Dzumhur,5,2017,162.2,32.7,51.2,30.4,47.9
Roberto Bautista Agut,6,2017,159.4,32.4,54.1,30.4,42.5
Kei Nishikori,7,2017,157.3,31.4,54.4,28.6,42.9
Hyeon Chung,8,2017,154.6,32.1,53.4,27.9,41.2
Pablo Carreno Busta,9,2017,152.9,29.4,53.0,27.2,43.3
David Goffin,10,2017,151.9,30.1,53.9,26.7,41.2
Adrian Mannarino,11,2017,151.6,30.3,51.3,26.0,44.0
Alexandre Muller,12,2017,151.0,28.0,50.0,29.2,43.8
Roger Federer,13,2017,150.9,32.4,51.5,26.7,40.3
Richard Gasquet,14,2017,150.6,29.6,54.1,26.0,40.9
Andrey Rublev,15,2017,150.0,29.4,53.4,24.4,42.8
Steve Darcis,16,2017,149.6,31.0,48.3,23.9,46.4
Fernando Verdasco,17,2017,149.5,30.5,52.5,25.1,41.4
Gael Monfils,18,2017,148.6,32.8,48.8,25.8,41.2
Gilles Simon,19,2017,148.0,30.4,50.6,24.1,42.9
Yuichi Sugita,20,2017,147.6,28.9,51.5,23.9,43.3
Alexander Zverev,21,2017,147.3,28.4,50.7,23.2,45.0
Benoit Paire,22,2017,147.2,32.7,47.6,24.1,42.8
Fabio Fognini,23,2017,146.3,31.2,50.1,26.0,39.0
Dominic Thiem,24,2017,146.3,31.3,49.6,25.2,40.2
David Ferrer,25,2017,145.8,31.4,51.3,25.4,37.7
Jo-Wilfried Tsonga,26,2017,144.3,30.2,50.4,23.3,40.4
Marin Cilic,27,2017,144.1,30.9,51.4,23.6,38.2
Philipp Kohlschreiber,28,2017,144.1,29.1,50.8,23.0,41.2
Grigor Dimitrov,29,2017,143.9,29.8,52.0,23.7,38.4
Carlos Berlocq,30,2017,142.5,29.1,49.3,21.9,42.2
Jordan Thompson,31,2017,142.4,30.1,48.0,23.1,41.2
Albert Ramos-Vinolas,32,2017,142.0,29.6,50.4,23.1,38.9
Sam Querrey,33,2017,141.8,28.5,48.7,21.5,43.1
Lucas Pouille,34,2017,140.8,26.5,51.6,21.5,41.2
Stan Wawrinka,35,2017,140.5,28.8,49.3,22.3,40.1
Andreas Seppi,36,2017,140.3,28.1,48.6,21.1,42.5
Jiri Vesely,37,2017,140.2,27.8,47.6,21.0,43.8
Kyle Edmund,38,2017,140.0,27.1,51.5,22.0,39.4
Guido Pella,39,2017,139.9,28.2,51.2,21.7,38.8
Thomaz Bellucci,40,2017,139.2,27.9,50.8,20.8,39.7
Nikoloz Basilashvili,41,2017,138.9,29.2,49.7,22.8,37.2
Tomas Berdych,42,2017,138.6,25.1,51.1,19.8,42.6
Robin Haase,43,2017,137.8,29.2,50.2,21.8,36.6
Juan Martin del Potro,44,2017,137.4,28.0,49.9,21.0,38.5
Pablo Cuevas,45,2017,137.3,29.2,47.7,20.2,40.2
Joao Sousa,46,2017,136.7,28.9,47.8,20.8,39.2
Mikhail Youzhny,47,2017,135.8,27.8,48.0,20.1,39.9
Aljaz Bedene,48,2017,135.6,28.9,48.5,20.6,37.6
Jared Donaldson,49,2017,135.5,27.2,50.1,21.2,37.0
Alexandr Dolgopolov,50,2017,135.4,27.3,48.8,19.6,39.7
Rafael Nadal,1,2016,177.9,35.5,56.1,40.8,45.5
Andy Murray,2,2016,172.2,33.8,56.4,36.7,45.3
Novak Djokovic,3,2016,171.2,34.7,58.5,34.5,43.5
Diego Schwartzman,4,2016,161.6,32.2,53.2,29.6,46.6
